Type,EDI_Std_Nomenclature,W,A,Ht,h,B,b,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J
HSS,,412.0,49200,864.0,792.0,254.0,183.0,25.4,23.6,4000.0,12300.0,9260.0,284.0,558.0,5030.0,4390.0,106.0,1680000.0
HSS,,364.0,43400,864.0,803.0,254.0,192.0,22.2,20.7,3580.0,10900.0,8290.0,287.0,504.0,4490.0,3970.0,108.0,1510000.0
HSS,,315.0,37500,864.0,810.0,254.0,201.0,19.1,17.7,3140.0,9540.0,7280.0,290.0,445.0,3930.0,3520.0,109.0,1330000.0
HSS,,266.0,31500,864.0,820.0,254.0,210.0,15.9,14.8,2680.0,8080.0,6190.0,292.0,385.0,3360.0,3030.0,110.0,1130000.0
HSS,,372.0,44300,762.0,691.0,254.0,183.0,25.4,23.6,2870.0,9930.0,7540.0,254.0,491.0,4470.0,3880.0,105.0,1440000.0
HSS,,329.0,39200,762.0,701.0,254.0,192.0,22.2,20.7,2580.0,8850.0,6770.0,257.0,445.0,4010.0,3520.0,107.0,1290000.0
HSS,,285.0,33900,762.0,709.0,254.0,201.0,19.1,17.7,2260.0,7720.0,5950.0,259.0,396.0,3520.0,3110.0,108.0,1140000.0
HSS,,240.0,28600,762.0,719.0,254.0,210.0,15.9,14.8,1930.0,6550.0,5080.0,259.0,341.0,3000.0,2690.0,109.0,970000.0
HSS,,194.0,23100,762.0,726.0,254.0,219.0,12.7,11.8,1590.0,5340.0,4160.0,262.0,283.0,2440.0,2230.0,111.0,795000.0
HSS,,315.0,37500,610.0,556.0,508.0,455.0,19.1,17.7,2060.0,8010.0,6770.0,234.0,1560.0,7080.0,6150.0,204.0,2810000.0
HSS,,266.0,31500,610.0,566.0,508.0,465.0,15.9,14.8,1760.0,6770.0,5750.0,236.0,1330.0,5980.0,5230.0,205.0,2370000.0
HSS,,214.0,25500,610.0,574.0,508.0,472.0,12.7,11.8,1440.0,5510.0,4700.0,237.0,1090.0,4870.0,4280.0,207.0,1920000.0
HSS,,162.0,19300,610.0,584.0,508.0,483.0,9.53,8.86,1100.0,4200.0,3610.0,239.0,832.0,3700.0,3280.0,208.0,1460000.0
HSS,,136.0,16200,610.0,587.0,508.0,485.0,7.95,7.39,928.0,3520.0,3050.0,240.0,703.0,3110.0,2770.0,209.0,1230000.0
HSS,,300.0,35700,610.0,556.0,457.0,404.0,19.1,17.7,1910.0,7470.0,6260.0,231.0,1220.0,6150.0,5360.0,185.0,2370000.0
HSS,,253.0,30100,610.0,566.0,457.0,414.0,15.9,14.8,1620.0,6330.0,5330.0,232.0,1040.0,5210.0,4570.0,186.0,2000000.0
HSS,,204.0,24300,610.0,574.0,457.0,422.0,12.7,11.8,1330.0,5150.0,4360.0,234.0,857.0,4230.0,3750.0,188.0,1630000.0
HSS,,155.0,18400,610.0,584.0,457.0,432.0,9.53,8.86,1020.0,3930.0,3340.0,235.0,658.0,3230.0,2880.0,189.0,1240000.0
HSS,,130.0,15400,610.0,587.0,457.0,434.0,7.95,7.39,857.0,3290.0,2820.0,236.0,554.0,2720.0,2430.0,190.0,1040000.0
HSS,,285.0,33900,610.0,556.0,406.0,353.0,19.1,17.7,1750.0,6950.0,5740.0,227.0,937.0,5260.0,4600.0,166.0,1950000.0
HSS,,240.0,28600,610.0,566.0,406.0,363.0,15.9,14.8,1490.0,5880.0,4880.0,228.0,799.0,4460.0,3930.0,167.0,1650000.0
HSS,,194.0,23100,610.0,574.0,406.0,371.0,12.7,11.8,1220.0,4790.0,4000.0,230.0,658.0,3640.0,3230.0,169.0,1340000.0
HSS,,147.0,17500,610.0,584.0,406.0,381.0,9.53,8.86,937.0,3650.0,3080.0,232.0,504.0,2770.0,2490.0,170.0,1020000.0
HSS,,123.0,14600,610.0,587.0,406.0,384.0,7.95,7.39,791.0,3080.0,2590.0,232.0,429.0,2340.0,2100.0,171.0,862000.0
HSS,,270.0,32100,610.0,556.0,356.0,302.0,19.1,17.7,1590.0,6410.0,5210.0,223.0,691.0,4420.0,3880.0,147.0,1550000.0
HSS,,228.0,27000,610.0,566.0,356.0,312.0,15.9,14.8,1360.0,5440.0,4460.0,224.0,591.0,3750.0,3330.0,148.0,1320000.0
HSS,,184.0,21900,610.0,574.0,356.0,320.0,12.7,11.8,1120.0,4420.0,3650.0,226.0,487.0,3060.0,2740.0,149.0,1070000.0
